charge,line,phase,repl,compound,is_standard,was_imputed,peak_area,n_peak_area
negative,am1,e,r1,1-Methyladenosine,FALSE,FALSE,93918.67962108806,1.050406319220594e-4
negative,am1,e,r1,3 4-Dimethoxyphenylacetic acid,FALSE,FALSE,336302.0329860207,3.761272859035498e-4
negative,am1,e,r1,Hydroxy-methoxycinnamic acid,FALSE,FALSE,242537.60471216013,2.71259171941208e-4
negative,am1,e,r1,4-Hydroxy-3-methylbenzoic acid,FALSE,FALSE,397668.7475793209,4.447611136561022e-4
negative,am1,e,r1,Phenylacetylglycine,FALSE,FALSE,28754.477783120714,3.215961435055816e-5
negative,am1,e,r1,Leucic acid,FALSE,FALSE,902902.9657927105,0.0010098257180978579
negative,am1,e,r1,Phenylpropanolamine,FALSE,FALSE,29705.90537300302,3.322371103156473e-5
negative,am1,e,r1,Acetyl-Phenylalanine,FALSE,FALSE,13435.280695986796,1.5026301264565728e-5
negative,am1,e,r1,2-hydroxy pyridine,FALSE,FALSE,34496.44050562198,3.8581546550603856e-5
negative,am1,e,r1,Phenyllactic acid,FALSE,FALSE,106791.20108531509,1.1943753139389863e-4
negative,am1,e,r1,Hydroxyoctanoic acid,FALSE,FALSE,599094.2489331142,6.700396421956942e-4
negative,am1,e,r1,Cresol,FALSE,FALSE,32640.72652540522,3.650607690031716e-5
negative,am1,e,r1,Hydroxyphenyl pyruvate,FALSE,FALSE,82316.19844643737,9.206417229372942e-5
negative,am1,e,r1,3-Phenylbutyric acid,FALSE,FALSE,135949.24822506405,1.5204850622371006e-4
negative,am1,e,r1,Pyridoxic acid,FALSE,FALSE,31691.022761301127,3.544390818241438e-5
negative,am1,e,r1,2 3-dihydroxybenzoic acid,FALSE,FALSE,446388.1795117673,4.99249953764528e-4
negative,am1,e,r1,5- Methylthioadenosine,FALSE,FALSE,98150.9902708409,1.0977413740716718e-4
negative,am1,e,r1,Methylphenyllactate,FALSE,FALSE,189179.18678094007,2.1158199206102764e-4
negative,am1,e,r1,Phenyl-pyruvate,FALSE,FALSE,261101.2981582778,2.9202119817767734e-4
negative,am1,e,r1,Undecanoic acid,FALSE,FALSE,213670.7754191968,2.3897390129268143e-4
negative,am1,e,r1,6-Phosphogluconate,FALSE,FALSE,120710.317746351,1.3500496500530335e-4
negative,am1,e,r1,CDP,FALSE,FALSE,111986.881865702,1.252484903494438e-4
negative,am1,e,r1,Carbamoyl phosphate,FALSE,FALSE,1708166.723446191,0.0019104496867174217
negative,am1,e,r1,Citrulline,FALSE,FALSE,284413.758904308,3.1809434590825283e-4
negative,am1,e,r1,Cytosine,FALSE,FALSE,62060.337049565824,6.94095897353169e-5
negative,am1,e,r1,N-acetyl-glutamine,FALSE,FALSE,1544.7730817345107,1.7277067920484919e-6
negative,am1,e,r1,Orotate,FALSE,FALSE,550203.7932945183,6.153595255676232e-4
negative,am1,e,r1,Phosphoenolpyruvate,FALSE,FALSE,2957803.943115631,0.003308070306566194
negative,am1,e,r1,Thymine,FALSE,FALSE,25208.350737852594,2.8193551079506463e-5
negative,am1,e,r1,UDP,FALSE,FALSE,296518.0286800412,3.316320164901614e-4
negative,am1,e,r1,Xylose-5-phosphate,FALSE,FALSE,96948.46649091213,1.0842920945189108e-4
negative,am1,e,r1,Ribulose-5-phosphate,FALSE,FALSE,342536.6759869113,3.8310024211699024e-4
negative,am1,e,r1,Succinyl-CoA,FALSE,FALSE,121263.223217244,1.356233461440723e-4
negative,am1,e,r1,Coenzyme A,FALSE,FALSE,263806.00409924984,2.9504619834110876e-4
negative,am1,e,r1,Acetyl CoA,FALSE,FALSE,1551897.063537341,0.0017356744035331249
negative,am1,e,r1,Propionyl CoA,FALSE,FALSE,2540.189288885331,2.841001270276064e-6
negative,am1,e,r1,Butyryl CoA,FALSE,FALSE,11195.254511979492,1.2521008740869998e-5
negative,am1,e,r1,Itaconic acid,FALSE,FALSE,380730.2879478821,4.2581678319222795e-4
negative,am1,e,r1,NegIS_Alanine-2H4-15N,TRUE,FALSE,79480432.05044253,0.0888925913534906
